o0900000	s	A	A
o0900077	s	AMA~a	AMA~a
o0900089	s	AN	AN
o0900089	s	AN	AN
o0900127	s	BAHAR₂~b	BAHAR₂~b
o0900215	s	BUR₂	BUR₂
o0900516	s	EN~a	EN~a
o0900806	s	GI	GI
o0900806	s	GI	GI
o0900806	s	GI	GI
o0900806	s	GI	GI
o0900906	s	GU	GU
o0900988	s	IDIGNA	IDIGNA
o0901063	s	KALAM~b	KALAM~b
o0901380	s	ME~a	ME~a
o0901426	s	MUŠEN	MUŠEN
o0901437	s	NA~a	NA~a
o0901437	s	NA~a	NA~a
o0901483	s	NE~a	NE~a
o0901639	s	PAP~a	PAP~a
o0902060	s	ŠUBUR	ŠUBUR
o0902060	s	ŠUBUR	ŠUBUR
o0902243	s	UDU~a	UDU~a
o0903234	n	3(N57)	3(N57)
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
o0903368	s	X	X
